director;id;original_title;popularity;budget;revenue;genres;vote_count;vote_average;runtime;release_date
Don Siegel;49375;Rough Cut;2.713;14000000;16656125;Adventure|Comedy|Crime|Mystery|Romance;15;5.9;112;1980-06-19
Don Taylor;8738;The Final Countdown;9.931;12000000;16647800;War|Action|Science Fiction;225;6.3;103;1980-01-31
Martin Davidson;44004;Hero at Large;3.01;0;15934737;Action|Comedy|Drama;20;6.5;98;1980-02-08
Walter Hill;14729;The Long Riders;6.078;10000000;15795189;Western|History;90;6.7;99;1980-05-12
Paul Lynch;36599;Prom Night;9.27;1000000;14796236;Horror|Mystery|Thriller;162;5.6;92;1980-07-18
Gary Weis;33076;Wholly Moses;4.18;0;14155617;Comedy;16;5.4;103;1980-06-13
Yves Boisset;136914;La femme flic;1.634;0;13600000;Drama;6;6.3;103;1980-01-08
Louis Malle;23954;Atlantic City;6.111;7200000;12729675;Crime|Drama|Romance;96;7.0;104;1980-09-02
Peter Medak;13550;The Changeling;6.99;0;12000000;Horror;250;7.0;103;1980-03-28
Robert Zemeckis;14475;Used Cars;9.249;8000000;11715321;Action|Comedy;106;6.4;113;1980-07-11
Guy Hamilton;6028;The Mirror Crack'd;6.099;0;11000000;Crime|Thriller|Mystery;82;6.1;105;1980-09-19
Charles Jarrott;35101;The Last Flight of Noah's Ark;5.344;0;11000000;Adventure|Family;24;5.7;97;1980-06-24
Jimmy T. Murakami;14460;Battle Beyond the Stars;6.372;2000000;11000000;Science Fiction;80;5.6;104;1980-09-08
Woody Allen;11337;Stardust Memories;6.976;10000000;10389003;Comedy|Drama|Romance;196;7.1;89;1980-09-26
Kei Kumai;365455;天平の甍;0.6;0;10300000;History;0;0.0;120;1980-01-26
Floyd Mutrux;21879;The Hollywood Knights;4.642;2500000;10000000;Comedy;27;6.3;91;1980-05-30
John G. Avildsen;31603;The Formula;1.994;0;8894289;Thriller;14;5.7;117;1980-01-01
Samuel Fuller;16121;The Big Red One;8.69;4500000;7206220;Drama|War;138;6.9;113;1980-05-28
Jerry Jameson;24575;Raise the Titanic;2.754;36000000;7000000;Adventure;38;5.4;115;1980-01-01
Édouard Molinaro;11684;La Cage aux folles II;3.629;0;6950125;Comedy;49;5.9;101;1980-12-10
Art Linson;13005;Where the Buffalo Roam;7.224;0;6659377;Comedy|Drama|History;79;6.2;99;1980-04-25
Walter Bernstein;47876;Little Miss Marker;2.836;0;6321392;Comedy|Drama|Family|Romance;19;6.1;103;1980-03-21
James L. Conway;54287;Hangar 18;6.583;0;6000000;Action|Science Fiction|Thriller;35;5.3;97;1980-07-01
Lasse Åberg;16026;Sällskapsresan eller Finns det svenskt kaffe på grisfesten;3.917;0;5010362;Comedy;45;6.3;107;1980-08-22
John Hough;21970;The Watcher in the Woods;4.832;0;5000000;Fantasy|Horror|Science Fiction|Thriller;67;6.3;83;1980-04-17
William Sachs;33155;Galaxina;4.235;5500000;4865000;Comedy|Science Fiction;29;4.3;95;1980-06-06
Adrian Lyne;32020;Foxes;4.295;0;4400000;Drama|Thriller;34;5.7;106;1980-02-29
Paul Mazursky;92323;Willie and Phil;0.623;5500000;4400000;;1;5.0;115;1980-08-15
John Cassavetes;10889;Gloria;6.582;0;4059673;Drama|Thriller|Crime;77;6.9;123;1980-10-01
Daniel Petrie;98864;Resurrection;2.849;0;3910019;Drama|Fantasy;15;6.4;103;1980-09-26
James Goldstone;47942;When Time Ran Out...;5.547;20000000;3763988;Action|Adventure|Drama|Thriller;28;6.6;121;1980-03-28
Michael Cimino;10935;Heaven's Gate;8.228;44000000;3484331;Drama|Western;132;6.7;219;1980-11-19
Andrew V. McLaglen;390253;North Sea Hijack;6.74;0;2993772;Action;39;6.2;100;1980-02-18
Vladimir Menshov;21028;Москва слезам не верит;6.352;900000;2500000;Drama|Comedy|Romance;92;7.9;142;1980-02-11
Kay Pollak;80310;Barnens ö;8.498;0;2110516;Drama|Family|Romance;7;6.9;118;1980-12-25
Bill Melendez;31112;Bon Voyage, Charlie Brown (and Don't Come Back!);5.232;0;2013193;Animation|Comedy|Family;34;6.8;75;1980-05-30
Sammo Hung;15724;鬼打鬼;2.505;0;731753;Action|Horror|Fantasy|Comedy;30;6.4;102;1980-12-24
Eloy de la Iglesia;114051;Navajeros;1.057;0;680224;Crime|Drama;12;6.5;95;1980-10-06
Ertem Eğilmez;184979;Banker Bilo;3.043;85000;243000;Drama|Comedy;22;7.2;85;1980-01-01
Robert Ellis Miller;189888;The Baltimore Bullet;2.566;0;215498;Comedy|Crime|Drama;3;6.0;103;1980-03-31
Teddy Yip Wing-Cho;121367;癲螳螂;2.244;0;25309;Action;3;8.0;93;1980-01-03
Jimmy Giménez-Arnau;337434;Cocaína;0.6;0;8832;Drama|Comedy;0;0.0;None;1980-01-01
Robert Clouse;19267;The Big Brawl;5.331;0;854;Action|Comedy;61;5.8;95;1980-09-10
Antônio Calmon;216598;O Torturador;0.6;0;98;Action|Crime;1;5.0;98;1980-05-19
Kieth Merrill;85548;Windwalker;2.439;0;18;Adventure|Drama|Western;7;5.7;108;1980-12-12
NA;543448;How to Be a Detective;0.6;0;7;;0;0.0;None;1980-06-01
Nikos Avrameas;556267;Τώρα Θέλω... Τώρα!;0.6;0;0;;1;10.0;101;1980-01-01
Daniel Filho;536316;Rita Lee Jones;0.87;0;0;TV Movie|Music;1;10.0;60;1980-11-07
Bastian Clevé;517885;Fatehpur Sikri;0.6;0;0;;1;10.0;9;1980-01-01
A. Salaam;515832;Ganga aur Suraj;0.62;0;0;;1;10.0;None;1980-01-01
NA;458457;Igraszki z diabłem;0.6;0;0;;1;10.0;None;1980-01-14
Jon Bang Carlsen;456653;Næste stop paradis;0.6;0;0;Comedy;1;10.0;None;1980-11-17
Jesper Klein;456325;Kaptajn Klyde og hans venner vender tilbage;0.6;0;0;Family;1;10.0;None;1980-12-26
Hans Kristensen;455445;Undskyld vi er her;0.6;0;0;Comedy;2;10.0;None;1980-12-26
János Zsombolyai;442583;Vámmentes házasság;0.6;0;0;Romance|Drama|Comedy;1;10.0;96;1980-02-19
Nazrul Islam;436435;Bandish;0.62;0;0;Music;1;10.0;125;1980-01-11
Antonio Meliande;430803;Bacanal;1.374;0;0;Crime|Romance;1;10.0;93;1980-12-17
Dan Necșulea;428043;Visul unei nopti de iarna;0.9;0;0;Comedy|Romance;2;10.0;103;1980-01-01
Nicole Le Garrec;427789;Plogoff, des pierres contre des fusils;0.6;0;0;Documentary;1;10.0;110;1980-11-19
Otakar Krivánek;427777;Otec ma zderie tak, či tak;1.123;0;0;Family|Comedy;1;10.0;None;1980-01-01
NA;416766;Bob Marley: Uprising Live!;0.87;0;0;Music;1;10.0;None;1980-06-13
Lise Roos;414406;Sådan er jeg osse;0.87;0;0;Drama;1;10.0;103;1980-02-29
Lino Brocka;400833;Nakaw na Pag-ibig;0.6;0;0;;1;10.0;99;1980-01-25
Giorgos Lazaridis;399602;Καθένας με την τρέλλα του...;0.6;0;0;Comedy;1;10.0;113;1980-01-01
Jiří Hanibal;399587;Čas pracuje pro vraha;1.373;0;0;Crime;1;10.0;None;1980-02-01
Jung Jin-woo;391994;뻐꾸기도 밤에 우는가;1.12;0;0;Drama;1;10.0;120;1980-03-01
Dan Tscherniad;377268;Danmark er lukket;0.6;0;0;Drama;1;10.0;None;1980-10-31
Russ Doughten;370895;Whitcomb's War;0.6;0;0;Drama|Comedy;1;10.0;67;1980-06-15
David Mallet;368064;Eat to the Beat;0.681;0;0;Music;1;10.0;44;1980-10-01
Jeff Keen;357787;Return of Silver Head;0.672;0;0;;1;10.0;21;1980-01-02
Jeff Keen;357782;Victory Thru Film Power;0.62;0;0;;1;10.0;3;1980-01-02
Sanjay Khan;338644;Abdullah;0.6;0;0;;1;10.0;None;1980-03-07
Marilou Diaz-Abaya;336172;Brutal;0.6;0;0;Drama;1;10.0;105;1980-12-25
Laurice Guillen;334296;Kasal?;0.623;0;0;;1;10.0;94;1980-06-19
Stig Björkman;330050;Kvindesind;0.62;0;0;Drama;1;10.0;73;1980-04-07
Astrid Henning-Jensen;324163;Øjeblikket;0.661;0;0;Drama;1;10.0;None;1980-10-06
Osamu Dezaki;301513;あしたのジョー 劇場版;0.84;0;0;Action|Animation|Drama;2;10.0;153;1980-03-08
Julian Pena;297625;Skateboard Madness;0.6;0;0;Comedy|Documentary;1;10.0;92;1980-09-15
NA;279040;Urutoraman Eiteî;0.6;0;0;Fantasy|Action;1;10.0;1200;1980-01-01
Frieda Liappa;276836;Apetaxamin;0.6;0;0;;2;10.0;25;1980-06-15
Yvonne Rainer;267460;Journeys from Berlin/1971;0.6;0;0;Drama;2;10.0;125;1980-01-11
NA;265895;Zui she xiao zi;0.668;0;0;Action;1;10.0;85;1980-06-11
Jackie Cooper;238664;White Mama;1.33;0;0;TV Movie|Drama;1;10.0;105;1980-03-05
Jean Garrett;195168;O Fotógrafo;0.6;0;0;Drama;1;10.0;90;1980-08-24
William H. Whyte;177599;Social Life of Small Urban Spaces;1.4;0;0;;2;10.0;58;1980-01-01
Bent Christensen;161517;Attentat;0.966;0;0;Drama;1;10.0;None;1980-08-28
Aase Schmidt;155762;Verden er fuld af børn;0.661;0;0;Drama;1;10.0;93;1980-02-08
Peter Carter;74068;Kavik The Wolf Dog;0.6;0;0;Adventure|Action|Drama;1;10.0;100;1980-01-01
Yann Le Masson;54322;Regarde, elle a les yeux grands ouverts;0.951;0;0;Documentary;1;10.0;77;1980-01-01
Robert Guenette;72803;SPFX: The Empire Strikes Back;2.517;0;0;Documentary;6;9.7;48;1980-09-22
Luiz Castellini;450845;Orgia das Taras;0.6;0;0;Crime;2;9.5;82;1980-04-06
NA;375672;Bruce Springsteen - The Ties That Bind - Documentary;0.6;0;0;Music;1;9.5;60;1980-11-05
NA;361116;Zappatore;1.01;0;0;Drama;4;9.1;None;1980-01-09
Orlando Jiménez Leal;544809;Me Olvidé de Vivir;0.62;0;0;;1;9.0;None;1980-03-13
Antonio Bonacin Thome;445741;Tara das Cocotas na Ilha do Pecado;0.6;0;0;Adventure;2;9.0;None;1980-03-08
Alfredo Sternheim;440694;Corpo Devasso;0.87;0;0;Drama;1;9.0;84;1980-02-08
Brian Barkley;430603;Revival Of Evil;0.65;0;0;Documentary|Documentary;2;9.0;50;1980-01-01
Usch Barthelmeß-Weller;429588;Die Kinder aus Nr. 67;1.176;0;0;Drama;2;9.0;103;1980-04-11
Kinji Fukasaku;373422;Jingi naki tatakai: Sôshûhen;0.908;0;0;Action|Crime|Drama|Thriller;2;9.0;224;1980-04-05
Linda Moulton Howe;371640;A Strange Harvest;0.9;0;0;Documentary;2;9.0;57;1980-11-12
Jamil Dehlavi;354851;The Blood of Hussain;0.659;0;0;Drama;2;9.0;112;1980-08-16
NA;344884;The Silk Road;0.62;0;0;Documentary;1;9.0;540;1980-04-07
Nikolai Volev;266938;Двойникът;0.6;0;0;Comedy;4;9.0;98;1980-03-17
Wu Yigong;259034;巴山夜雨;0.6;0;0;Drama;1;9.0;86;1980-03-12
Claudio Biern Boyd;118267;El diminuto mundo de David el Gnomo;0.65;0;0;;2;9.0;75;1980-01-01
Bill Paxton;115161;Fish Heads;0.672;0;0;TV Movie|Music;2;9.0;5;1980-01-01
Renato Polselli;107406;Oscenità;1.862;0;0;Drama;2;9.0;84;1980-02-14
K. Balachander;66406;வறுமையின் நிறம் சிவப்பு;1.15;0;0;Drama;2;9.0;144;1980-11-06
Kartal Tibet;157737;Zübük;2.426;0;0;Comedy;17;8.8;79;1980-09-11
Ishmael Bernal;146034;Manila by Night;1.536;0;0;Drama;4;8.8;150;1980-11-28
Georgi Kissimov;77847;Der Baulöwe;0.6;0;0;Comedy;2;8.8;87;1980-06-05
Alexander Kubelka;477037;Bella;1.3;0;0;Drama|Romance;3;8.7;85;1980-08-10
Eric Sykes;284437;Rhubarb Rhubarb;0.6;0;0;;3;8.7;28;1980-12-15
Peter Frazer Jones;40742;George & Mildred;2.969;0;0;Comedy;24;8.7;93;1980-10-10
Michel Parbot;485213;The Making of The Empire Strikes Back;1.27;0;0;Documentary;2;8.5;59;1980-09-22
NA;392663;The Trouble with Miss Switch;0.6;0;0;Animation|Fantasy|TV Movie;1;8.5;42;1980-02-16
Peter Levin;292015;Rape and Marriage: The Rideout Case;0.6;0;0;Drama|TV Movie;1;8.5;96;1980-10-29
Ron Howard;265345;Skyward;0.84;0;0;;2;8.5;100;1980-11-20
John A. Alonzo;259975;Belle Starr;1.17;0;0;Western;2;8.5;97;1980-03-31
Jim Goddard;178881;The Black Stuff;0.712;0;0;;4;8.5;110;1980-01-02
Toshio Masuda;175066;ヤマトよ永遠に;1.213;0;0;Drama|Science Fiction|Action|Animation;2;8.5;145;1980-08-01
James P. Lewis;169610;Heartland Reggae;0.964;267;0;Music|Documentary;1;8.5;90;1980-03-04
Mohamed Abdel Aziz;78009;غاوي مشاكل;0.6;0;0;Drama|Comedy|Romance;1;8.5;110;1980-07-19
Michel Ocelot;345130;Les trois inventeurs;1.675;0;0;Animation;15;8.4;13;1980-06-06
Robert Enrico;64220;Pile ou face;0.71;0;0;Drama|Crime|Thriller;4;8.4;105;1980-08-30
Walter Hugo Khouri;195484;O Convite ao Prazer;1.4;0;0;Drama;3;8.3;109;1980-02-08
Jules Bass;50934;Pinocchio's Christmas;1.4;0;0;Family|Animation;3;8.3;49;1980-12-03
Leo Hurwitz;95026;Dialogue with a Woman Departed;1.998;0;0;Documentary;4;8.3;225;1980-12-31
Eric Dionysius;50125;AC/DC: Let There Be Rock;1.726;0;0;Music;12;8.3;95;1980-09-14
Michel Deville;81195;Le Voyage en douce;2.481;0;0;Drama;5;8.2;98;1980-01-04
Govind Nihalani;190213;Aakrosh;0.84;0;0;Drama;4;8.1;144;1980-01-01
Slobodan Šijan;17909;Ko to tamo peva;4.889;120000;0;Drama|Comedy|Adventure;54;8.1;86;1980-01-01
Krzysztof Zanussi;198500;Constans;1.317;0;0;Drama;10;8.1;98;1980-06-04
Igor Maslennikov;126854;Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра;2.056;0;0;Crime|Mystery;17;8.1;65;1980-03-01
Satyajit Ray;206789;হীরক রাজার দেশে;0.84;0;0;Comedy;10;8.1;118;1980-12-18
Yurij Vishinskiy;614216;Белый снег России;0.6;0;0;Drama;1;8.0;91;1980-12-01
NA;602116;Копилка;0.6;0;0;Comedy;1;8.0;None;1980-01-01
Tarun Majumdar;584924;Dadar Kirti;0.6;0;0;;1;8.0;154;1980-11-28
Johan Bergenstråhle;550357;Ett drömspel;1.12;0;0;;1;8.0;135;1980-11-30
NA;515129;Pete!;0.6;0;0;Documentary|Music;1;8.0;59;1980-08-24
Niazi Mostafa;513604;اذكياء لكن اغبياء;0.6;0;0;Comedy;1;8.0;100;1980-04-14
Yusuf Azizbayev;484216;Контрольная полоса;0.6;0;0;Adventure;1;8.0;None;1980-10-30
Nam June Paik;482396;Lake Placid '80;0.6;0;0;;1;8.0;4;1980-01-01
Vladimir Semakov;480092;Главный конструктор;0.6;0;0;Drama;1;8.0;130;1980-10-05
Dharmasiri Bandaranayake;451548;Hansa Vilak;0.6;0;0;Drama;1;8.0;110;1980-04-09
R. Bruce Elder;437602;Sweet Love Remembered;0.6;0;0;;1;8.0;14;1980-01-27
John Berry;402588;Angel on My Shoulder;1.12;0;0;Drama|Fantasy;1;8.0;100;1980-05-11
Jeni Kendall;393092;Give Trees a Chance: The Story of Terania Creek;0.6;0;0;;1;8.0;46;1980-01-01
Aleksandr Proshkin;392138;Частное лицо;1.15;0;0;Mystery;2;8.0;None;1980-11-15
Iosif Demian;390017;O lacrimă de fată;0.944;0;0;Drama;3;8.0;83;1980-03-26
Sohrab Shahid Saless;388774;Ordnung;0.6;0;0;Drama;1;8.0;None;1980-03-19
P. Bharathiraja;366120;Red Rose;0.881;0;0;Drama|Horror|Thriller;1;8.0;125;1980-05-23
Kim Si-hyun;363666;매권;1.12;0;0;Action;1;8.0;95;1980-09-05
Nawi Ismail;360143;Ge...er (Gede Rasa);0.6;0;0;Comedy;1;8.0;109;1980-01-01
Branko Ivanovski Gapo;356820;Vreme, vodi Време, води;0.62;0;0;Drama;1;8.0;135;1980-01-01
Mohan;355559;ശാലിനി എന്‍റെ  കൂട്ടുകാരി;0.875;0;0;Drama|Romance;1;8.0;130;1980-03-21
Graeme Whifler;349648;Act of Being Polite;0.658;0;0;Music;2;8.0;1;1980-01-01
Liz White;332418;Othello;1.37;0;0;Drama|Romance;1;8.0;115;1980-01-01
Lee Hsing;316942;小城故事;0.873;0;0;Romance;1;8.0;94;1980-05-03
Srđan Karanović;283124;Petrijin venac;0.84;0;0;Drama;2;8.0;99;1980-01-01
Toshio Matsumoto;278481;気　Breathing;1.4;0;0;;2;8.0;29;1980-07-11
Paul Frizler;274748;Getting Wasted;0.6;0;0;Comedy;1;8.0;98;1980-01-01
Carl Urbano;268979;The Flintstones' New Neighbors;0.84;0;0;Family|Animation|Comedy;2;8.0;30;1980-09-26
Ivan Andonov;266932;Дами канят;1.4;0;0;Comedy;4;8.0;95;1980-12-15
John Paizs;256881;The Obsession of Billy Botski;0.62;0;0;;1;8.0;24;1980-01-01
Hsiang Fang;254354;Yong zheng yu nian geng yao;0.6;0;0;Action;1;8.0;86;1980-09-04
Lech Majewski;246032;Rycerz;1.232;0;0;Fantasy|Adventure|Drama;3;8.0;81;1980-10-06
Ross McElwee;242733;Charleen or How Long Has This Been Going On?;0.6;0;0;Documentary;1;8.0;54;1980-01-01
Yoshitaro Nomura;234941;震える舌;1.37;0;0;Drama|Horror;1;8.0;114;1980-11-22
Antony Thomas;220534;Death of a Princess;1.4;0;0;Drama|Mystery|Documentary;2;8.0;115;1980-04-09
Anders Sørensen;220415;Snuden 1 - Snuden rejser hjemmefra;0.6;0;0;Animation;1;8.0;17;1980-01-01
NA;219566;Star Wars: Music by John Williams;0.971;0;0;Documentary|Music;2;8.0;60;1980-05-18
Yōichi Higashi;219278;四季・奈津子;1.098;0;0;Romance|Drama;3;8.0;120;1980-08-06
Eiichi Kudo;208908;影の軍団　服部半蔵;0.669;0;0;Action|War|Drama;1;8.0;133;1980-02-23
Lamont Johnson;204737;Off the Minnesota Strip;1.506;0;0;Drama|TV Movie;1;8.0;104;1980-05-05
Jacques Demy;202190;La naissance du jour;0.742;0;0;;1;8.0;90;1980-01-01
Gary Keys;200319;Memories of Duke;0.698;0;0;Documentary|Music;1;8.0;85;1980-04-12
NA;198933;Муми-дол: Всё дело в шляпе;0.6;0;0;Animation;1;8.0;15;1980-01-31
James Ivory;185156;Jane Austen in Manhattan;0.966;0;0;Drama|Romance;3;8.0;108;1980-07-01
Johnnie To;185004;碧水寒山奪命金;0.6;0;0;Action;1;8.0;88;1980-06-11
Amos Gitai;184683;Bayit;0.6;0;0;Documentary;2;8.0;51;1980-01-30
Fouad El-Mohandes;183431;سك على بناتك;1.18;0;0;Comedy;3;8.0;230;1980-07-10
Lin Wenxiao;182221;雪孩子;0.6;0;0;Animation;1;8.0;20;1980-01-01
Kay Wright;175790;A Snow White Christmas;1.474;0;0;Adventure|Animation|Family;1;8.0;50;1980-01-01
Sai Paranjape;173728;स्पर्श;0.906;0;0;;1;8.0;145;1980-01-30
Gleb Panfilov;165793;Valentina;0.936;0;0;Drama|Romance;1;8.0;100;1980-06-06
NA;145491;John McLaughlin, Al DiMeola, Paco DeLucia: Friday Night in San Francisco   Vol,1 & 2;0.661;0;0;Music;1;8.0;None;1980-12-04
Dieter Hildebrandt;136678;Der gelbe Stern;0.6;0;0;Documentary;2;8.0;89;1980-12-01
Bob Clark;130917;Tribute;0.98;0;0;Drama;2;8.0;121;1980-12-14
Jack Gold;119933;The Merchant of Venice;0.6;0;0;Comedy|TV Movie|Romance|Drama;2;8.0;157;1980-12-17
Sepp Strubel;110075;Augsburger Puppenkiste - Am Samstag kam das Sams zurück;0.6;0;0;Family;1;8.0;None;1980-06-10
Francis Mankiewicz;100984;Les bons débarras;0.6;0;0;Drama;6;8.0;120;1980-02-28
Alan Gibson;79147;The Flipside of Dominick Hide;1.002;0;0;Science Fiction;1;8.0;90;1980-12-09
Jonathan Miller;71508;The Taming of the Shrew;1.444;0;0;Drama|Comedy|Romance|TV Movie;4;8.0;126;1980-10-23
Franco Rosso;57082;Babylon;1.566;0;0;Drama;7;8.0;95;1980-11-07
Zoran Čalić;55113;Došlo doba da se ljubav proba;0.6;0;0;Romance|Comedy;3;8.0;93;1980-01-01
Steven Fischler;41314;Free Voice of Labor: The Jewish Anarchists;0.6;0;0;Documentary;1;8.0;55;1980-01-01
Luis María Delgado;29543;El sexólogo (Memorias de un visitador medico);0.69;0;0;Comedy;2;8.0;85;1980-11-13
Jonathan Kaplan;5229;The Hustler of Muscle Beach;0.87;0;0;Comedy|Drama;1;8.0;102;1980-05-16
Akira Kurosawa;11953;影武者;9.72;0;0;Action|Drama|History|War;283;7.9;180;1980-04-26
Chantal Akerman;86814;News from Home;1.619;0;0;Documentary;16;7.9;85;1980-03-27
Krzysztof Kieślowski;49098;Gadające głowy;2.356;0;0;Documentary;26;7.8;16;1980-01-01
Paul Grimault;22504;Le roi et l'oiseau;5.373;0;0;Animation|Family|Fantasy;160;7.8;83;1980-03-19
Tsui Hark;104287;第一類型危險;3.004;0;0;Action|Crime|Thriller;9;7.8;95;1980-12-04
Sándor Mihályfy;63625;Indul a bakterház;1.097;0;0;Comedy;11;7.8;66;1980-11-12
Leon Hirszman;203158;Eles não usam black-tie;1.048;0;0;Drama;13;7.8;134;1980-06-24
Igor Maslennikov;126846;Шерлок Холмс и Доктор Ватсон: Король Шантажа;2.007;0;0;;23;7.8;63;1980-01-01
István Szabó;49139;Bizalom;0.96;0;0;Drama;4;7.8;105;1980-01-10
Joseph Sargent;51681;Playing for Time;3.922;0;0;Drama|Music|History|TV Movie;18;7.7;150;1980-09-30
Richard Donner;39503;Inside Moves;2.3;0;0;Drama;7;7.7;113;1980-12-19
Peter Greenaway;33356;The Falls;3.687;0;0;Drama|Science Fiction;15;7.7;195;1980-01-01
Igor Maslennikov;126850;Шерлок Холмс и доктор Ватсон: Смертельная схватка;1.712;0;0;;20;7.7;65;1980-02-01
Boris Stepanov;531029;Государственная граница. Фильм 1. Мы наш, мы новый...;0.6;0;0;Drama|War|History;3;7.7;None;1980-05-28
Jerry London;529239;Shogun;2.008;0;0;Adventure|Drama|Romance|Action;6;7.7;125;1980-11-08
Rein Raamat;221234;Suur Tõll;1.024;0;0;Animation|Fantasy;9;7.7;14;1980-01-01
Richard T. Heffron;107414;Foolin' Around;0.6;0;0;Comedy|Romance;3;7.7;111;1980-10-17
Rainer Werner Fassbinder;45560;Berlin Alexanderplatz;2.253;0;0;Drama|Crime|TV Movie;19;7.6;931;1980-08-28
Robert Redford;16619;Ordinary People;9.004;6000000;0;Drama;278;7.6;124;1980-09-19
Feroz Khan;183659;Qurbani;0.817;0;0;Drama|Action|Crime;5;7.6;157;1980-06-19
Stephen Wallace;171513;Stir;1.401;420000;0;Thriller|Action|Drama;6;7.6;97;1980-05-11
Claude Sautet;61389;Un mauvais fils;1.207;0;0;Drama;15;7.5;110;1980-10-14
Mikhail Ryk;539927;Расследование;0.6;0;0;Crime;2;7.5;None;1980-12-28
Harry Rasky;409764;The Song of Leonard Cohen;0.9;0;0;;2;7.5;90;1980-01-01
Jean Beaudin;402204;Cordélia;0.87;450;0;Drama;1;7.5;116;1980-02-07
Won Jun Yu;374503;Chunhyangjeon;0.6;0;0;Romance|Drama|Music;2;7.5;146;1980-06-02
Hugo Sofovich;366619;Así no hay cama que aguante;0.6;0;0;Comedy;1;7.5;90;1980-03-06
Arizal;360147;Pintar Pintar Bodoh;0.6;0;0;Comedy;1;7.5;90;1980-01-01
NA;334945;Genesis: Live in London;1.565;0;0;Music|Documentary;2;7.5;129;1980-05-06
Michael O'Herlihy;289410;Desperate Voyage;0.916;0;0;Adventure|Drama|Thriller;1;7.5;100;1980-11-29
Todd Coleman;281770;Living Dolls;0.65;0;0;Horror;2;7.5;9;1980-01-01
Claude Mulot;281272;L'immorale;0.87;0;0;Romance|Drama;1;7.5;90;1980-07-16
Kim Si-hyun;221039;Golden Dragon, Silver Snake;1.4;0;0;;2;7.5;90;1980-06-11
Robert Breer;211244;Swiss Army Knife with Rats and Pigeons;1.022;0;0;Animation;4;7.5;6;1980-01-01
Steven Spielberg;85;Raiders of the Lost Ark;26.668;18000000;389925971;Adventure|Action;7175;7.9;115;1981-06-12
John Glen;699;For Your Eyes Only;16.061;28000000;195312802;Adventure|Action|Thriller;885;6.5;127;1981-06-23
Bob Clark;10246;Porky's;9.457;4000000;125728258;Comedy;336;6.2;94;1981-11-13
