director;id;original_title;popularity;budget;revenue;genres;vote_count;vote_average;runtime;release_date
Andrew Adamson;809;Shrek 2;20.731;150000000;919838758;Adventure|Animation|Comedy|Family|Fantasy;6821;7.0;93;2004-05-19
Alfonso Cuarón;673;Harry Potter and the Prisoner of Azkaban;32.685;130000000;789804554;Adventure|Fantasy;12539;7.9;141;2004-05-31
Sam Raimi;558;Spider-Man 2;10.176;200000000;783766341;Action|Adventure|Fantasy;8747;7.0;127;2004-06-25
Brad Bird;9806;The Incredibles;24.842;92000000;631442092;Action|Adventure|Animation|Family;11433;7.7;115;2004-11-05
Mel Gibson;615;The Passion of the Christ;16.614;30000000;611899420;Drama;1886;7.1;127;2004-02-25
Roland Emmerich;435;The Day After Tomorrow;16.604;125000000;544272402;Action|Adventure|Science Fiction|Thriller;4700;6.4;124;2004-05-26
Jay Roach;693;Meet the Fockers;11.325;80000000;516642939;Comedy|Romance;2895;6.2;115;2004-12-22
Wolfgang Petersen;652;Troy;20.034;175000000;497409852;Adventure|History;5901;7.0;163;2004-05-03
Vicky Jenson;10555;Shark Tale;19.398;75000000;367275019;Animation|Action|Comedy|Family;3966;6.0;90;2004-09-20
Steven Soderbergh;163;Ocean's Twelve;17.389;110000000;362744280;Thriller|Crime;4319;6.5;125;2004-12-09
Jon Turteltaub;2059;National Treasure;14.445;100000000;347451894;Adventure|Action|Thriller|Mystery;3842;6.5;131;2004-11-19
Alex Proyas;2048;I, Robot;31.542;120000000;347234916;Action|Science Fiction;7433;6.8;115;2004-07-15
Robert Zemeckis;5255;The Polar Express;19.885;165000000;310634054;Adventure|Animation|Family|Fantasy;3492;6.6;100;2004-11-10
Stephen Sommers;7131;Van Helsing;17.19;160000000;300257475;Horror|Adventure|Action;3321;6.1;132;2004-05-05
Paul Greengrass;2502;The Bourne Supremacy;15.258;75000000;288500217;Action|Drama|Thriller;4656;7.3;108;2004-07-23
Beeban Kidron;9801;Bridget Jones: The Edge of Reason;10.902;40000000;262500000;Comedy|Romance;1693;6.3;108;2004-11-10
M. Night Shyamalan;6947;The Village;13.114;60000000;256697520;Drama|Mystery|Thriller;2269;6.4;108;2004-07-30
Hayao Miyazaki;4935;ハウルの動く城;22.961;24000000;236049757;Fantasy|Animation|Adventure;4330;8.4;119;2004-11-19
Steven Spielberg;594;The Terminal;14.852;60000000;219417255;Comedy|Drama;4184;7.3;128;2004-06-17
Michael Mann;1538;Collateral;20.603;65000000;217764291;Drama|Crime|Thriller;2818;7.1;120;2004-08-04
Clint Eastwood;70;Million Dollar Baby;18.998;30000000;216763646;Drama;5284;7.9;132;2004-12-15
Brad Silberling;11774;Lemony Snicket's A Series of Unfortunate Events;16.238;140000000;209073645;Adventure|Comedy|Family;3244;6.8;108;2004-12-16
Antoine Fuqua;9477;King Arthur;19.23;120000000;203567857;Adventure|War|History;1587;6.2;126;2004-07-07
Peter Hewitt;8920;Garfield;15.907;50000000;200804534;Animation|Comedy|Family;2083;5.5;80;2004-06-10
Peter Segal;1824;50 First Dates;14.24;75000000;196482882;Comedy|Romance;4426;6.7;99;2004-02-13
Takashi Shimizu;1970;The Grudge;10.813;10000000;183474602;Horror|Mystery|Thriller;1695;5.9;92;2004-10-22
Raja Gosnell;11024;Scooby-Doo 2: Monsters Unleashed;16.316;0;181466833;Mystery|Fantasy|Adventure|Comedy;1422;5.7;93;2004-03-24
NA;490949;Monty Pythons Spamalot;1.308;0;175000000;Comedy;4;5.6;87;2004-12-21
John Hamburg;5966;Along Came Polly;12.267;42000000;171963386;Comedy|Romance;1611;5.9;90;2004-01-16
Paul W.S. Anderson;395;AVP: Alien vs. Predator;16.871;70000000;171183863;Adventure|Science Fiction|Action|Horror;2360;5.7;101;2004-08-12
Todd Phillips;9384;Starsky & Hutch;14.821;60000000;170268750;Comedy|Crime;1330;5.8;101;2004-03-05
Peter Chelsom;4380;Shall We Dance?;10.953;50000000;170128460;Drama|Romance|Comedy;663;6.2;107;2004-10-15
Rawson Marshall Thurber;9472;DodgeBall: A True Underdog Story;14.066;20000000;167722310;Comedy;2031;6.2;92;2004-06-18
Oliver Stone;1966;Alexander;14.089;155000000;167298192;War|History|Action|Adventure|Drama|Romance;1933;5.8;175;2004-11-21
Joel Schumacher;9833;The Phantom of the Opera;12.621;70000000;154648887;Thriller|Drama|Romance;869;7.2;143;2004-12-08
Quentin Tarantino;393;Kill Bill: Vol. 2;23.331;30000000;152159461;Action|Crime|Thriller;8307;7.8;136;2004-04-16
Stephen Hillenburg;11836;The SpongeBob SquarePants Movie;13.517;30000000;140161792;Animation|Comedy|Family;1400;6.7;87;2004-11-14
Tony Scott;9509;Man on Fire;15.463;70000000;130293714;Action|Drama|Thriller;2714;7.4;146;2004-04-23
Alexander Witt;1577;Resident Evil: Apocalypse;8.339;45000000;129394835;Horror|Action|Science Fiction;2373;6.2;94;2004-09-10
Mark Waters;10625;Mean Girls;23.945;17000000;129042871;Comedy;5215;7.1;97;2004-04-30
David S. Goyer;36648;Blade: Trinity;17.002;65000000;128905366;Science Fiction|Action|Horror|Thriller|Adventure|Fantasy;2225;5.8;123;2004-12-08
Taylor Hackford;1677;Ray;11.103;40000000;124731534;Drama|Music;915;7.4;152;2004-10-29
Michael Moore;1777;Fahrenheit 9/11;11.606;6000000;119114517;Documentary;771;7.1;123;2004-06-25
Joseph Ruben;10145;The Forgotten;10.708;42000000;117575636;Drama|Horror|Mystery|Science Fiction|Thriller;615;5.7;91;2004-09-24
Marc Forster;866;Finding Neverland;13.067;25000000;116766556;Drama;2424;7.3;106;2004-10-17
David Twohy;2789;The Chronicles of Riddick;8.762;105000000;115772733;Action|Science Fiction;2469;6.4;119;2004-06-11
Nick Cassavetes;11036;The Notebook;21.543;29000000;115603229;Romance|Drama;6718;7.9;123;2004-06-25
Mike Nichols;2288;Closer;18.501;27000000;115505027;Drama|Romance;1834;6.8;104;2004-12-01
Keenen Ivory Wayans;12153;White Chicks;12.529;37000000;113086475;Comedy;1746;6.7;109;2004-06-23
Alexander Payne;9675;Sideways;9.81;16000000;109502303;Comedy|Drama|Romance;853;7.0;127;2004-10-22
Joe Johnston;2023;Hidalgo;17.909;100000000;108103450;Western|Adventure;600;6.6;136;2004-02-04
Will Finn;13700;Home on the Range;14.132;110000000;103951461;Animation|Family;1124;5.9;76;2004-04-02
James Wan;176;Saw;20.045;1200000;103911669;Horror|Mystery|Crime;5185;7.4;103;2004-10-01
Zack Snyder;924;Dawn of the Dead;12.507;28000000;102356381;Fantasy|Horror|Action|Drama;1999;6.9;101;2004-03-19
Martin Scorsese;2567;The Aviator;18.265;110000000;102000000;Drama;2963;7.1;170;2004-12-17
Frank Oz;9890;The Stepford Wives;11.52;90000000;102000000;Comedy|Science Fiction;727;5.6;93;2004-06-10
Stephen Chow;9470;功夫;12.016;20000000;101434304;Action|Comedy|Crime|Fantasy;1358;7.3;99;2004-02-10
Guillermo del Toro;1487;Hellboy;17.034;66000000;99318987;Fantasy|Action;4408;6.6;122;2004-04-02
Paul Haggis;1640;Crash;14.743;6500000;98410061;Drama;2040;7.3;112;2004-09-10
Gary Winick;10096;13 Going on 30;15.439;37000000;96455697;Comedy|Fantasy|Romance;2986;6.6;98;2004-04-13
Jonathan Demme;14462;The Manchurian Candidate;10.263;80000000;96105964;Drama|Thriller|Mystery;779;6.4;129;2004-07-30
Eric Bress;1954;The Butterfly Effect;14.862;13000000;96060858;Science Fiction|Thriller;4154;7.5;113;2004-01-22
Garry Marshall;11130;The Princess Diaries 2: Royal Engagement;23.043;40000000;95149435;Comedy|Drama|Family|Romance;1915;6.5;113;2004-08-06
David Koepp;1586;Secret Window;13.189;40000000;92913171;Mystery|Thriller;2073;6.5;96;2004-03-12
Zhang Yimou;9550;十面埋伏;9.254;0;92863945;Adventure|Drama|Action|Romance;811;7.3;119;2004-05-19
Oliver Hirschbiegel;613;Der Untergang;10.868;18339750;92180910;Drama|History|War;1935;7.8;156;2004-09-08
Adam McKay;8699;Anchorman: The Legend of Ron Burgundy;12.338;26000000;90574188;Comedy;2557;6.8;95;2004-07-09
Pitof;314;Catwoman;15.303;100000000;82102379;Action|Fantasy|Mystery;1948;4.4;104;2004-07-22
Renny Harlin;11026;Exorcist: The Beginning;10.023;80000000;78000586;Horror|Mystery|Thriller;370;5.1;114;2004-08-20
Michael Herbig;9805;(T)Raumschiff Surprise - Periode 1;7.639;9000000;76341401;Comedy|Science Fiction;243;6.3;87;2004-07-14
Jay Russell;11128;Ladder 49;16.245;60000000;74541707;Drama|Action|Thriller;400;6.3;115;2004-10-01
Michel Gondry;38;Eternal Sunshine of the Spotless Mind;15.847;20000000;72258126;Science Fiction|Drama|Romance;8195;8.1;108;2004-03-19
Frank Coraci;10204;Around the World in 80 Days;15.646;110000000;72178895;Action|Adventure|Comedy;1429;5.8;120;2004-06-16
Mark Rosman;11247;A Cinderella Story;13.996;19000000;70067909;Comedy;1902;6.4;95;2004-07-10
Steven Brill;10762;Without a Paddle;7.774;19000000;69631118;Action|Adventure|Comedy|Thriller;349;5.5;95;2004-08-20
D.J. Caruso;11081;Taking Lives;11.384;45000000;65470529;Action|Crime|Mystery|Thriller|Drama;744;6.2;103;2004-03-19
Kevin Rodney Sullivan;21301;Barbershop 2:  Back in Business;9.187;18000000;65070412;Comedy|Drama;129;5.7;106;2004-01-20
Gavin O'Connor;14292;Miracle;8.763;28000000;64445708;Drama|History;309;7.1;135;2004-02-06
Jean-Jacques Annaud;1997;Deux Frères;7.755;74500000;62172050;Adventure|Drama|Family;471;7.1;109;2004-04-07
Brett Ratner;10589;After the Sunset;9.596;60000000;61347797;Action|Comedy|Crime|Drama;373;6.2;97;2004-11-12
Peter Berg;13416;Friday Night Lights;10.806;30000000;61255921;Drama;282;6.9;118;2004-10-08
Kerry Conran;5137;Sky Captain and the World of Tomorrow;11.854;70000000;57958696;Mystery|Action|Thriller|Science Fiction|Adventure;731;5.8;107;2004-09-17
Kevin Bray;11358;Walking Tall;10.653;56000000;57223890;Adventure|Drama|Action|Thriller;712;6.0;86;2004-04-02
David R. Ellis;9759;Cellular;12.951;25000000;56422687;Action|Thriller;1049;6.3;94;2004-09-06
James L. Brooks;2539;Spanglish;11.812;80000000;55041367;Comedy;726;5.9;130;2004-12-17
Jonathan Hensleigh;7220;The Punisher;13.335;33000000;54700105;Action|Crime|Drama;1489;6.1;124;2004-04-15
