"director","id","original_title","popularity","budget","revenue","genres","vote_count","vote_average","runtime","release_date","year"
"Reginald Hudlin",16094,"House Party",6.582,2500000,26386000,"Comedy|Drama",94,6.2,"100","1990-03-09",1990
"Adrian Lyne",2291,"Jacob's Ladder",11.772,25000000,25965144,"Drama|Mystery|Horror",748,7.4,"113","1990-11-02",1990
"Sheldon Lettich",9399,"Lionheart",13.134,6000000,24271196,"Action",386,6.1,"105","1990-06-07",1990
"Robert Resnikoff",41374,"The First Power",2.794,10000000,22424195,"Crime|Thriller|Horror",27,5.6,"98","1990-04-06",1990
"Clint Eastwood",6723,"The Rookie",10.087,10000000,21633874,"Action|Crime|Drama|Thriller",253,5.8,"120","1990-12-06",1990
"Renny Harlin",9548,"The Adventures of Ford Fairlane",15.464,49000000,20423389,"Action|Comedy|Thriller|Crime|Mystery",110,6.3,"104","1990-07-11",1990
"Deran Sarafian",17466,"Death Warrant",8.919,4000000,16853487,"Action",225,5.6,"93","1990-09-14",1990
"John Harrison",20701,"Tales from the Darkside: The Movie",7.7,3500000,16324573,"Thriller|Comedy|Fantasy|Horror",163,6.1,"93","1990-05-03",1990
"George T. Miller",34636,"The NeverEnding Story II: The Next Chapter",11.328,32000000,16283667,"Drama|Family|Fantasy|Adventure",408,5.6,"89","1990-10-24",1990
"Spike Lee",41823,"Mo' Better Blues",10.241,10000000,16153593,"Drama|Romance|Music|Comedy",95,6.5,"129","1990-08-03",1990
"Brian De Palma",9586,"The Bonfire of the Vanities",9.855,47000000,15691192,"Comedy|Drama",237,5.6,"125","1990-12-21",1990
"James Orr",2612,"Mr. Destiny",9.568,20000000,15379253,"Fantasy|Comedy|Science Fiction|Romance",102,6.2,"110","1990-10-12",1990
"Patrick Read Johnson",34086,"Spaced Invaders",5.69,3000000,15369573,"Comedy|Family|Science Fiction",41,4.9,"100","1990-04-27",1990
"Bill Murray",10729,"Quick Change",11.256,15000000,15260154,"Comedy|Crime|Mystery",128,6.6,"89","1990-07-13",1990
"Nils Gaup",71805,"Håkon Håkonsen",45.711,8500000,15024232,"Adventure|Family",22,6.5,"92","1990-10-03",1990
"David Lynch",483,"Wild at Heart",9.751,9500000,14560247,"Comedy|Crime|Thriller",719,7.1,"124","1990-08-17",1990
"Ralph S. Singleton",19158,"Graveyard Shift",9.227,10500000,11582891,"Drama|Horror",100,5,"89","1990-10-26",1990
"Jack Nicholson",32669,"The Two Jakes",8.482,19000000,1e+07,"Crime|Drama|Mystery",86,6,"138","1990-08-10",1990
"Sydney Pollack",22189,"Havana",4.776,40000000,9243140,"Drama|Romance",52,5.7,"144","1990-12-11",1990
"Craig R. Baxley",19384,"Dark Angel",8.751,7000000,9229401,"Action|Thriller|Science Fiction|Crime|Horror",134,6,"91","1990-01-26",1990
"Clive Barker",20481,"Nightbreed",11.052,11000000,8862354,"Action|Drama|Fantasy|Horror",194,6.4,"102","1990-02-16",1990
"John Waters",9768,"Cry-Baby",15.524,11000000,8266343,"Comedy|Music|Romance",804,6.4,"85","1990-04-05",1990
"John Cornell",25943,"Almost an Angel",4.742,25000000,6939946,"Drama|Comedy",53,5.8,"95","1990-12-21",1990
"Claes Eriksson",53703,"Macken - Roy's & Roger's Bilservice",1.582,1497520,6137054,"Comedy",7,4.6,"92","1990-12-23",1990
"Tom Savini",19185,"Night of the Living Dead",11.275,4200000,5835247,"Horror",405,6.7,"88","1990-10-18",1990
"Martin Ritt",36094,"Stanley & Iris",5.545,23000000,5820015,"Drama|Romance",59,6.6,"104","1990-02-09",1990
"Richard Stanley",11309,"Hardware",9.074,1500000,5728953,"Horror|Science Fiction|Thriller",141,5.7,"93","1990-09-14",1990
"Bob Clark",24558,"Loose Cannons",6.445,1500000,5585154,"Comedy|Crime",36,5.3,"94","1990-02-09",1990
"Joel Coen",379,"Miller's Crossing",11.246,14000000,5080409,"Drama|Thriller|Crime",818,7.6,"115","1990-09-21",1990
"Luc Besson",9322,"Nikita",8.529,8538703,5e+06,"Action|Thriller",1031,7.2,"117","1990-02-21",1990
"Jennie Livingston",31225,"Paris Is Burning",7.807,500000,3779620,"Documentary",220,8.3,"71","1990-03-13",1990
"Michael Cimino",31676,"Desperate Hours",5.331,18000000,2700000,"Mystery|Thriller",68,5.5,"105","1990-10-05",1990
"James Cameron",280,"Terminator 2: Judgment Day",31.42,102000000,5.2e+08,"Action|Thriller|Science Fiction",7301,7.9,"137","1991-07-03",1991
"Kevin Reynolds",8367,"Robin Hood: Prince of Thieves",13.101,48000000,390493908,"Adventure|Action|Drama|Romance",1802,6.8,"143","1991-06-14",1991
"Gary Trousdale",10020,"Beauty and the Beast",27.768,25000000,377350553,"Romance|Family|Animation|Fantasy",6213,7.7,"84","1991-11-13",1991
"Steven Spielberg",879,"Hook",14.826,70000000,300854823,"Adventure|Fantasy|Comedy|Family",3208,6.9,"142","1991-12-11",1991
"Jonathan Demme",274,"The Silence of the Lambs",5.388,19000000,272742922,"Crime|Drama|Thriller|Horror",9237,8.3,"119","1991-02-01",1991
"Oliver Stone",820,"JFK",14.12,40000000,205405498,"Drama|Thriller|History",1004,7.7,"189","1991-12-20",1991
"Barry Sonnenfeld",2907,"The Addams Family",21.521,30000000,191502426,"Horror|Comedy|Fantasy",2405,7,"99","1991-11-22",1991
"Martin Scorsese",1598,"Cape Fear",16.004,35000000,182300000,"Thriller",1575,7.2,"128","1991-11-15",1991
"Jim Abrahams",9595,"Hot Shots!",22.677,26000000,181096164,"Action|Comedy|War",1064,6.5,"84","1991-07-31",1991
"Ron Underwood",1406,"City Slickers",9.767,27000000,179033791,"Comedy|Western",402,6.4,"112","1991-06-07",1991
"Joseph Ruben",7442,"Sleeping with the Enemy",10.246,19000000,174999005,"Drama|Crime|Thriller",501,6.4,"99","1991-01-13",1991
"Ron Howard",2924,"Backdraft",12.585,75000000,152368585,"Action|Crime|Drama|Mystery|Thriller",684,6.6,"137","1991-05-24",1991
"Jon Avnet",1633,"Fried Green Tomatoes",9.699,11000000,119418501,"Drama|Comedy",685,7.7,"130","1991-12-27",1991
"Nicholas Meyer",174,"Star Trek VI: The Undiscovered Country",8.719,27000000,96900000,"Science Fiction|Action|Adventure|Thriller",669,6.9,"113","1991-12-05",1991
"David Zucker",37137,"The Naked Gun 2½: The Smell of Fear",13.357,23000000,86930411,"Comedy|Crime",1086,6.8,"85","1991-06-28",1991
"Kathryn Bigelow",1089,"Point Break",12.593,24000000,83531958,"Action|Thriller|Crime",1764,7.1,"120","1991-07-12",1991
"Michael Pressman",1497,"Teenage Mutant Ninja Turtles II: The Secret of the Ooze",11.39,25000000,78656813,"Science Fiction|Adventure|Action|Comedy|Family",536,6,"88","1991-03-22",1991
"Barbra Streisand",10333,"The Prince of Tides",8.052,30000000,74787599,"Drama|Romance",119,6.6,"132","1991-12-25",1991
"Frank Oz",10276,"What About Bob?",10.701,35000000,63710000,"Comedy",442,6.8,"100","1991-05-17",1991
"Joe Johnston",10249,"The Rocketeer",11.795,42000000,6.2e+07,"Action|Adventure|Science Fiction|Family",445,6.4,"108","1991-06-21",1991
"Tony Scott",9319,"The Last Boy Scout",12.644,29000000,59509925,"Action|Thriller",913,6.6,"105","1991-12-11",1991
"Howard Zieff",4032,"My Girl",11.738,17000000,59489799,"Comedy|Drama",944,7.1,"103","1991-11-27",1991
"John Singleton",650,"Boyz n the Hood",10.51,6500000,57504069,"Crime|Drama",766,7.5,"112","1991-07-12",1991
"Barry Levinson",10337,"Bugsy",9.502,30000000,49114016,"Crime|Drama|Mystery",161,6.4,"134","1991-12-10",1991
"Mario Van Peebles",10952,"New Jack City",12.564,8500000,47624253,"Thriller|Crime|Drama",233,6.7,"97","1991-03-08",1991
"Ridley Scott",1541,"Thelma & Louise",15.291,16000000,45361000,"Drama|Thriller|Crime|Adventure",1611,7.5,"130","1991-05-24",1991
"Terry Gilliam",177,"The Fisher King",9.954,24000000,41895491,"Comedy|Drama",678,7.3,"138","1991-09-09",1991
"John Flynn",14362,"Out for Justice",10.573,14000000,39673161,"Action",206,6.1,"91","1991-04-12",1991
"Randa Haines",26142,"The Doctor",4.208,12000000,38120905,"Drama",37,6.5,"122","1991-07-24",1991
"Rachel Talalay",11284,"Freddy's Dead: The Final Nightmare",13.831,11000000,34872033,"Horror|Thriller|Comedy",602,5.2,"89","1991-09-05",1991
"Randal Kleiser",12227,"White Fang",10.936,14000000,34793160,"Action|Adventure|Drama|Family",290,6.6,"107","1991-01-18",1991
"Oliver Stone",10537,"The Doors",12.018,38000000,34416893,"Drama|Music",585,6.9,"140","1991-03-01",1991
"Spike Lee",1713,"Jungle Fever",9.224,14000000,32482682,"Drama|Romance",147,6.3,"132","1991-06-07",1991
"Sheldon Lettich",9594,"Double Impact",11.721,15000000,30102717,"Thriller|Action|Crime|Drama",427,5.5,"110","1991-07-31",1991
"Stephen Herek",15413,"Don't Tell Mom the Babysitter's Dead",10.367,10000000,25196249,"Comedy|Family",198,6,"105","1991-06-07",1991
"Nadia Tass",19065,"Pure Luck",6.117,17010000,24941969,"Comedy|Crime|Mystery",58,5.5,"96","1991-08-09",1991
"John Landis",11890,"Oscar",10.14,35000000,23562716,"Comedy",258,6.3,"109","1991-04-26",1991
"Mark Rydell",25221,"For the Boys",5.124,40000000,23202444,"Music|Drama",33,6.4,"138","1991-11-22",1991
"Garry Marshall",3784,"Frankie and Johnny",11.676,29000000,22773535,"Drama|Romance",259,6.7,"118","1991-10-18",1991
"Jack Bender",11187,"Child's Play 3",15.615,13000000,20560255,"Thriller|Horror|Action",674,5.7,"90","1991-08-30",1991
"Michael Karbelnikoff",21219,"Mobsters",6.806,23000000,20246790,"Drama|Action|Thriller|Crime",68,5.9,"104","1991-07-26",1991
"Mary Agnes Donoghue",68430,"Paradise",4.947,34000000,18634643,"Drama|Family|Romance",28,6.2,"111","1991-09-18",1991
"Michael Lehmann",9292,"Hudson Hawk",12.809,65000000,17218080,"Action|Adventure|Comedy",487,5.7,"100","1991-05-23",1991
"Russell Mulcahy",8010,"Highlander 2: The Quickening",9.11,30000000,15556340,"Fantasy",401,4.7,"91","1991-10-11",1991
"Mark DiSalle",34421,"The Perfect Weapon",5.266,10000000,14061361,"Action|Drama",40,5.9,"87","1991-03-15",1991
"Ate de Jong",10379,"Drop Dead Fred",7.158,6788000,13878334,"Comedy|Fantasy|Family",185,6.1,"103","1991-04-19",1991
"Jerry Rees",31633,"The Marrying Man",5.608,26000000,12454768,"Action|Comedy|Romance|Thriller|Drama",44,5.4,"116","1991-04-05",1991
"Don Bluth",20421,"Rock-A-Doodle",10.614,18000000,11657385,"Comedy|Family|Animation|Fantasy|Music",123,5.9,"77","1991-08-02",1991
"Wolfgang Petersen",2071,"Shattered",4.94,22000000,11511031,"Mystery|Thriller",65,6.4,"98","1991-10-11",1991
"Bryan Gordon",16270,"Career Opportunities",12.291,6000000,11336986,"Drama|Comedy|Romance",106,5.9,"83","1991-03-29",1991
"Rod Daniel",53287,"The Super",4.582,22000000,11000863,"Comedy",45,5.8,"84","1991-10-04",1991
"Bill Duke",41780,"A Rage in Harlem",5.111,8000000,10400000,"Crime|Comedy",25,5.8,"115","1991-05-03",1991
"Paul Mazursky",47762,"Scenes from a Mall",3.914,3000000,9563393,"Comedy",35,5.2,"89","1991-02-22",1991
"Matthew Robbins",16790,"Bingo",5.451,10000000,8667684,"Action|Adventure|Comedy|Family",48,5,"90","1991-08-09",1991
"Dan Aykroyd",11933,"Nothing but Trouble",10.115,40000000,8479793,"Comedy|Adventure",162,5.1,"94","1991-02-14",1991
"Burt Kennedy",11504,"Suburban Commando",9.217,11000000,8e+06,"Action|Comedy|Family|Science Fiction",80,4.9,"88","1991-10-04",1991
"Simon Wincer",2453,"Harley Davidson and the Marlboro Man",9.986,23000000,7434726,"Action|Thriller",171,6.3,"98","1991-08-23",1991
"Gus Van Sant",468,"My Own Private Idaho",13.047,2500000,6401336,"Drama|Adventure",504,7.1,"104","1991-02-01",1991
"Martha Coolidge",32221,"Rambling Rose",6.438,7500000,6266621,"Drama",30,6.6,"112","1991-09-10",1991
"Joel Coen",290,"Barton Fink",8.575,9000000,6153939,"Comedy|Drama",863,7.5,"116","1991-08-01",1991
"Tom Mankiewicz",28117,"Delirious",6.391,18000000,5546827,"Fantasy|Comedy|Romance",50,5.6,"96","1991-08-09",1991
"Peter Faiman",25330,"Dutch",7.785,17000000,4603929,"Comedy",105,6.4,"107","1991-07-19",1991
"Geoff Burrowes",48129,"Run",2.725,16000000,4409328,"Action|Thriller|Drama",19,5.8,"91","1991-02-01",1991
"Stewart Raffill",34376,"Mannequin Two: On the Move",8.258,13000000,3752426,"Fantasy|Comedy|Science Fiction|Romance",60,5.1,"95","1991-05-17",1991
"William A. Graham",13888,"Return to the Blue Lagoon",11.422,11000000,2807854,"Adventure|Drama",382,5.6,"98","1991-08-02",1991
"Woody Allen",19200,"Shadows and Fog",8.092,14000000,2735731,"Thriller|Comedy",166,6.9,"85","1991-12-05",1991
"Mark L. Lester",13154,"Showdown in Little Tokyo",7.328,8000000,2275557,"Action|Thriller",184,6,"79","1991-08-23",1991
"Jim Jarmusch",339,"Night on Earth",6.469,3500000,2015810,"Comedy|Drama",382,7.6,"129","1991-12-12",1991
"Ron Clements",812,"Aladdin",39.199,28000000,504050219,"Animation|Family|Adventure|Fantasy|Romance",7115,7.6,"90","1992-11-25",1992
"Mick Jackson",619,"The Bodyguard",16.947,25000000,411006740,"Thriller|Action|Drama|Music|Romance",1449,6.5,"129","1992-11-25",1992
"Chris Columbus",772,"Home Alone 2: Lost in New York",27.554,18000000,358991681,"Comedy|Family|Adventure|Crime",5344,6.5,"120","1992-11-19",1992
"Paul Verhoeven",402,"Basic Instinct",16.223,49000000,352927224,"Thriller|Mystery",1708,6.7,"127","1992-03-20",1992
"Richard Donner",943,"Lethal Weapon 3",20.055,35000000,321731527,"Adventure|Action|Comedy|Thriller|Crime",1515,6.6,"118","1992-05-15",1992
"Tim Burton",364,"Batman Returns",17.458,80000000,2.8e+08,"Action|Fantasy",3533,6.8,"126","1992-06-19",1992
"Rob Reiner",881,"A Few Good Men",14.504,40000000,243240178,"Drama",1744,7.4,"138","1992-12-11",1992
"Emile Ardolino",2005,"Sister Act",13.78,31000000,231605150,"Music|Comedy",1749,6.7,"100","1992-05-28",1992
"Francis Ford Coppola",6114,"Dracula",16.29,40000000,215862692,"Romance|Horror",2530,7.4,"128","1992-11-13",1992
"Penelope Spheeris",8872,"Wayne's World",12.606,20000000,183097323,"Music|Comedy",1283,6.6,"94","1992-02-14",1992
"Phillip Noyce",9869,"Patriot Games",13.903,45000000,178051587,"Drama|Action|Thriller|Crime",799,6.6,"117","1992-06-04",1992
"David Fincher",8077,"Alien³",17.421,50000000,159773545,"Science Fiction|Action|Horror",3041,6.3,"114","1992-05-22",1992
"Clint Eastwood",33,"Unforgiven",16.719,14000000,159157447,"Western",2100,7.9,"131","1992-08-07",1992
"Andrew Davis",8845,"Under Siege",11.395,35000000,156563139,"Action|Thriller",718,6.2,"103","1992-10-08",1992
"Robert Zemeckis",9374,"Death Becomes Her",11.768,55000000,149022650,"Comedy|Fantasy",1326,6.6,"104","1992-07-30",1992
"Ron Howard",11259,"Far and Away",10.854,60000000,137783840,"Adventure|Drama|Romance|Western",567,6.6,"140","1992-05-22",1992
"Martin Brest",9475,"Scent of a Woman",12.706,31000000,134095253,"Drama",1501,7.7,"157","1992-12-23",1992
"Penny Marshall",11287,"A League of Their Own",11.932,40000000,132440069,"Comedy|Drama|History",712,7.1,"128","1992-07-01",1992
"Curtis Hanson",11087,"The Hand that Rocks the Cradle",11.407,11700000,88036683,"Drama|Thriller",415,6.7,"110","1992-01-10",1992
"Michael Mann",9361,"The Last of the Mohicans",12.455,40000000,75505856,"Action|Adventure|Drama|History|Romance|War",1524,7.3,"112","1992-09-25",1992
"Reginald Hudlin",11066,"Boomerang",12.558,40000000,70100000,"Comedy|Romance",283,5.5,"117","1992-06-30",1992
"Jonathan Lynn",10377,"My Cousin Vinny",8.586,11000000,64088552,"Comedy",713,7.4,"120","1992-03-13",1992
"Neil Jordan",11386,"The Crying Game",7.594,3705538,62548947,"Romance|Crime|Drama|Thriller",344,7,"112","1992-09-02",1992
"Randal Kleiser",11158,"Honey I Blew Up the Kid",12.776,40000000,58662452,"Adventure|Comedy|Family|Science Fiction",620,5.1,"89","1992-07-16",1992
"Jonathan Kaplan",17494,"Unlawful Entry",7.913,23000000,57138719,"Crime|Thriller|Mystery",119,6.1,"117","1992-06-26",1992
"Stephen Herek",10414,"The Mighty Ducks",9.871,10000000,50752337,"Comedy|Family",393,6.4,"101","1992-10-02",1992
"Spike Lee",1883,"Malcolm X",12.928,34000000,48169908,"Drama|History",749,7.5,"202","1992-11-18",1992
"Barbet Schroeder",9605,"Single White Female",10.127,16000000,48017402,"Thriller|Drama",274,6.3,"107","1992-08-14",1992
"John McTiernan",9096,"Medicine Man",10.523,40000000,45500797,"Adventure|Drama",191,6,"106","1992-02-07",1992
"Kevin Hooks",10538,"Passenger 57",12.297,15000000,44065653,"Action|Adventure|Thriller",469,5.7,"84","1992-11-06",1992
"Robert Redford",293,"A River Runs Through It",11.839,12000000,43440294,"Drama",504,7.1,"123","1992-10-09",1992
"Peter MacDonald",12251,"Mo' Money",6.168,17000000,40227006,"Action|Comedy|Thriller|Crime|Romance",56,5.7,"97","1992-07-24",1992
"Brian De Palma",13937,"Raising Cain",9.543,12000000,37170057,"Drama|Horror|Thriller|Crime",131,6,"92","1992-08-07",1992
"Baz Luhrmann",10409,"Strictly Ballroom",9.97,3000000,33946224,"Comedy|Drama|Romance",158,6.4,"94","1992-08-20",1992
"Brett Leonard",10163,"The Lawnmower Man",10.156,10000000,32101000,"Horror|Thriller|Science Fiction",365,5.5,"108","1992-03-05",1992
"Mick Garris",11428,"Sleepwalkers",12.238,15000000,30524763,"Fantasy|Horror|Thriller",213,5.4,"91","1992-04-10",1992
"Jon Turteltaub",16314,"3 Ninjas",8.716,6500000,29000301,"Action|Adventure|Comedy|Family",227,5.7,"84","1992-08-07",1992
"Brian Henson",10437,"The Muppet Christmas Carol",11.97,12000000,27281507,"Music|Comedy|Family|Fantasy|Drama",470,7.3,"85","1992-12-10",1992
"James Ivory",8293,"Howards End",8.287,8000000,26126837,"Drama|Romance",223,7.1,"140","1992-03-13",1992
"Bernard Rose",9529,"Candyman",10.598,6000000,25792310,"Drama|Horror|Thriller",584,6.3,"99","1992-09-11",1992
"Thom Eberhardt",14361,"Captain Ron",9.73,24000000,22518097,"Adventure|Comedy|Family",161,5.5,"100","1992-09-18",1992
"Robert Altman",10403,"The Player",9.89,8000000,21706101,"Comedy|Drama|Crime",343,7.2,"124","1992-04-03",1992
"Alfonso Aráu",18183,"Como agua para chocolate",5.767,2000000,21665468,"Drama|Romance",141,6.5,"105","1992-04-16",1992
"Alan J. Pakula",37753,"Consenting Adults",6.605,18000000,21591728,"Crime|Drama|Mystery",56,5.6,"99","1992-10-16",1992
"Sam Raimi",766,"Army of Darkness",13.543,11000000,21502976,"Fantasy|Horror|Comedy",1618,7.3,"81","1992-10-09",1992
"Stanley Tong",11134,"警察故事 III：超級警察",11.78,900000,20483423,"Action|Crime|Thriller",204,6.7,"95","1992-07-04",1992
"Ernest R. Dickerson",16136,"Juice",8.735,5000000,20146880,"Action|Crime|Drama|Thriller",184,7.1,"96","1992-01-17",1992
"Mary Lambert",10906,"Pet Sematary II",10.841,8000000,17092453,"Horror",227,5.2,"100","1992-08-28",1992
"Fran Rubel Kuzui",10206,"Buffy the Vampire Slayer",11.146,7000000,16624456,"Action|Comedy|Horror",392,5.4,"86","1992-07-24",1992
"Roland Joffé",47821,"City of Joy",5.045,27000000,14683921,"Drama",72,6.4,"132","1992-04-15",1992
"John Carpenter",2687,"Memoirs of an Invisible Man",8.07,40000000,14358033,"Comedy|Fantasy|Science Fiction",250,5.9,"99","1992-02-28",1992
"Dwight H. Little",13153,"Rapid Fire",7.977,10000000,14356479,"Action|Thriller",88,6.1,"95","1992-07-24",1992
"Ralph Bakshi",14239,"Cool World",10.435,30000000,14110589,"Animation|Comedy|Fantasy",313,5.1,"102","1992-07-10",1992
"Billy Crystal",54087,"Mr. Saturday Night",2.54,43000000,13300000,"Comedy|Drama",29,5.7,"119","1992-09-23",1992
"Walter Hill",22004,"Trespass",7.835,14000000,13249535,"Action|Crime|Thriller",80,6.3,"101","1992-12-25",1992
"Anthony Hickox",11569,"Hellraiser III: Hell on Earth",9.484,5000000,12534961,"Horror|Thriller|War",310,5.6,"93","1992-09-11",1992
"Bruce Robinson",10424,"Jennifer Eight",9.617,20000000,11390479,"Crime|Drama|Mystery|Thriller",158,6,"124","1992-11-06",1992
"Peter Hyams",23939,"Stay Tuned",7.92,25000000,10736401,"Comedy|Fantasy",79,6.1,"87","1992-08-14",1992
"James Foley",9504,"Glengarry Glen Ross",11.342,12500000,10725228,"Crime|Drama|Mystery",583,7.5,"100","1992-09-15",1992
"John Glen",41682,"Christopher Columbus: The Discovery",3.088,40000000,8251071,"Action",20,4.5,"120","1992-08-21",1992
"Ridley Scott",1492,"1492: Conquest of Paradise",11.153,47000000,7191399,"Action|Adventure|Drama|History",383,6.2,"154","1992-10-09",1992
"Stuart Gordon",12088,"Fortress",9.236,8000000,6739141,"Action|Thriller|Science Fiction",307,5.9,"95","1992-09-30",1992
"Howard Deutch",25269,"Article 99",4.415,18000000,6375979,"Comedy|Drama",19,5.9,"100","1992-03-13",1992
"Carroll Ballard",28881,"Wind",4.502,29000000,5519569,"Action",13,6.6,"126","1992-09-11",1992
"Tony Maylam",13006,"Split Second",10.685,7000000,5430822,"Horror|Science Fiction",121,6,"90","1992-05-01",1992
"Michael Ritchie",19143,"Diggstown",6.774,17000000,4836637,"Comedy|Drama",56,6.8,"98","1992-08-14",1992
"Richard Donner",20763,"Radio Flyer",9.235,35000000,4651977,"Drama",96,7,"114","1992-02-21",1992
"David Lynch",1923,"Twin Peaks: Fire Walk with Me",14.322,10000000,4160851,"Drama|Mystery",933,7.3,"135","1992-06-03",1992
"Allan Moyle",47898,"The Gun in Betty Lou's Handbag",3.341,13000000,3721911,"Comedy|Thriller|Mystery",11,5.1,"89","1992-08-21",1992
"Steven Spielberg",329,"Jurassic Park",15.732,63000000,920100000,"Adventure|Science Fiction",9748,7.9,"127","1993-06-11",1993
"Chris Columbus",788,"Mrs. Doubtfire",13.171,25000000,441286195,"Comedy|Drama|Family",3586,7.2,"125","1993-11-24",1993
"Andrew Davis",5503,"The Fugitive",17.506,44000000,368875760,"Adventure|Action|Thriller|Crime|Mystery",2259,7.4,"131","1993-08-06",1993
"Steven Spielberg",424,"Schindler's List",30.59,22000000,321365567,"Drama|History|War",8779,8.6,"195","1993-11-30",1993
"Sydney Pollack",37233,"The Firm",11.27,42000000,270248367,"Drama|Mystery|Thriller",967,6.7,"154","1993-06-30",1993
"Adrian Lyne",4478,"Indecent Proposal",11.328,38000000,266614059,"Romance|Drama",649,6.1,"117","1993-04-07",1993
"Hisayasu Satô",176439,"(生)盗聴リポート　痴話",0.99,90808000,261547809,"Thriller",1,7,"60","1993-03-05",1993
"Renny Harlin",9350,"Cliffhanger",13.79,70000000,255000211,"Action|Adventure|Thriller",1153,6.3,"112","1993-05-28",1993
"Nora Ephron",858,"Sleepless in Seattle",12.042,21000000,227799884,"Comedy|Drama|Romance",1228,6.7,"105","1993-06-24",1993
"Jonathan Demme",9800,"Philadelphia",11.999,26000000,206678440,"Drama",2237,7.7,"126","1993-12-22",1993
"Alan J. Pakula",9944,"The Pelican Brief",10.954,45000000,195268056,"Drama|Mystery|Thriller|Crime",730,6.5,"141","1993-12-16",1993
"Wolfgang Petersen",9386,"In the Line of Fire",11.223,40000000,176997168,"Action|Drama|Thriller|Crime|Mystery",732,6.9,"128","1993-07-08",1993
"Marco Brambilla",9739,"Demolition Man",14.372,57000000,159055768,"Crime|Action|Science Fiction",1870,6.5,"115","1993-10-08",1993
"Jon Turteltaub",864,"Cool Runnings",13.272,14000000,154856263,"Comedy|History",1044,7,"98","1993-09-30",1993
"Simon Wincer",1634,"Free Willy",10.868,20000000,153698625,"Family|Adventure|Drama",952,6,"112","1993-07-16",1993
"John McTiernan",9593,"Last Action Hero",13.925,85000000,137298489,"Adventure|Fantasy|Action|Comedy|Family",1373,6.3,"130","1993-06-18",1993
"Clint Eastwood",9559,"A Perfect World",10.082,30000000,135130999,"Crime|Drama|Thriller",774,7.4,"138","1993-11-24",1993
"Jim Abrahams",9255,"Hot Shots! Part Deux",13.034,25000000,133752825,"Action|Comedy|War",889,6.4,"86","1993-05-21",1993
"Rod Daniel",10438,"Beethoven's 2nd",11.033,15000000,118243066,"Family|Comedy",478,5.2,"89","1993-12-14",1993
"Nick Castle",12139,"Dennis the Menace",12.122,35000000,117270765,"Family|Comedy",724,5.6,"94","1993-06-23",1993
"Jane Campion",713,"The Piano",12.026,7000000,116700000,"Drama|Romance",633,7.4,"121","1993-05-19",1993
"Phillip Noyce",867,"Sliver",12.869,40000000,116300000,"Drama|Thriller",280,5.3,"108","1993-05-21",1993
"Philip Kaufman",7007,"Rising Sun",20.173,40000000,107198790,"Action|Drama|Thriller",363,6.1,"125","1993-07-30",1993
"Henry Selick",9479,"The Nightmare Before Christmas",19.898,18000000,75634409,"Fantasy|Animation|Family",5171,7.8,"76","1993-10-09",1993
"John Woo",2019,"Hard Target",13.632,18000000,74189677,"Action|Adventure|Crime|Thriller|Drama",473,6.1,"97","1993-08-20",1993
"Harold Ramis",137,"Groundhog Day",15.237,14600000,70906973,"Romance|Fantasy|Drama|Comedy",4346,7.5,"101","1993-02-11",1993
"Jim Sheridan",7984,"In the Name of the Father",10.563,13000000,65796862,"Drama",821,7.9,"133","1993-12-12",1993
"Rob Cohen",10423,"Dragon: The Bruce Lee Story",8.469,14000000,63513743,"Drama",328,6.9,"120","1993-05-07",1993
"Bill Duke",6279,"Sister Act 2: Back in the Habit",14.312,38000000,57319029,"Music|Comedy",939,6.3,"107","1993-12-09",1993
"George P. Cosmatos",11969,"Tombstone",18.465,25000000,56505065,"Western|Action",1013,7.5,"130","1993-12-25",1993
"Stephen Herek",10057,"The Three Musketeers",12.073,30000000,53898845,"Action|Adventure|Comedy",447,6.3,"105","1993-11-11",1993
"Barry Sonnenfeld",2758,"Addams Family Values",17.319,47000000,48919043,"Comedy|Family|Fantasy",1390,6.7,"94","1993-11-19",1993
"Joseph Ruben",9272,"The Good Son",8.486,17000000,44456478,"Drama|Horror|Thriller",410,6.3,"87","1993-09-24",1993
"Joel Schumacher",37094,"Falling Down",10.129,25000000,40903593,"Crime|Drama|Thriller",1675,7.3,"113","1993-02-26",1993
"Kenny Ortega",10439,"Hocus Pocus",13.64,28000000,39514713,"Comedy|Family|Fantasy|Horror",1263,6.9,"96","1993-07-16",1993
"Frank Marshall",7305,"Alive",10.644,32000000,36733909,"Action|Adventure|Drama|Thriller",732,6.7,"120","1993-01-15",1993
"Brian De Palma",6075,"Carlito's Way",12.027,30000000,36516012,"Crime|Thriller",1607,7.8,"144","1993-11-10",1993
"Mel Brooks",8005,"Robin Hood: Men in Tights",14.382,20000000,35739755,"Comedy",1112,6.6,"104","1993-07-28",1993
"Wayne Wang",19931,"The Joy Luck Club",5.264,11000000,32861136,"Drama",63,7.3,"139","1993-09-08",1993
"Martin Scorsese",10436,"The Age of Innocence",9.73,34000000,32255440,"Drama|Romance",427,7,"139","1993-09-17",1993
"Albert Hughes",9516,"Menace II Society",6.89,3500000,27900000,"Drama|Action|Crime",317,7.4,"97","1993-05-26",1993
"John Singleton",8291,"Poetic Justice",6.456,14000000,27515786,"Drama|Romance",94,6.7,"109","1993-07-23",1993
"Richard Attenborough",10445,"Shadowlands",8.641,22000000,25842000,"Drama|Romance",112,7.1,"131","1993-12-25",1993
